Epoch,Train_Loss,Train_Accuracy,Train_Dice,Train_Precision,Train_Recall,Train_F1,Train_IoU,Val_Loss,Val_Accuracy,Val_Dice,Val_Precision,Val_Recall,Val_F1,Val_IoU
1,0.4726,0.9118,0.5274,0.5503,0.7561,0.5628,0.4469,0.3841,0.9575,0.6159,0.7953,0.5731,0.6319,0.5050
2,0.3790,0.9503,0.6210,0.6376,0.7662,0.6370,0.5149,0.3805,0.9443,0.6195,0.6035,0.6717,0.6294,0.4896
3,0.3025,0.9643,0.6975,0.7481,0.7494,0.7083,0.5869,0.4124,0.9514,0.5876,0.7526,0.5712,0.5936,0.4711
4,0.3263,0.9630,0.6737,0.6960,0.7289,0.6840,0.5589,0.3290,0.9538,0.6710,0.6647,0.6994,0.6780,0.5434
5,0.3678,0.9610,0.6322,0.6525,0.7279,0.6389,0.5171,0.3386,0.9475,0.6614,0.6217,0.7270,0.6653,0.5327
6,0.3150,0.9657,0.6850,0.7142,0.7385,0.6914,0.5726,0.3485,0.9627,0.6515,0.8505,0.5857,0.6562,0.5358
7,0.3451,0.9638,0.6549,0.6847,0.7182,0.6600,0.5404,0.3283,0.9509,0.6717,0.6450,0.7127,0.6761,0.5401
8,0.3150,0.9664,0.6850,0.7283,0.7236,0.6902,0.5664,0.3602,0.9471,0.6398,0.6852,0.6633,0.6439,0.5087
9,0.2621,0.9732,0.7379,0.7849,0.7481,0.7429,0.6265,0.3281,0.9587,0.6719,0.7268,0.6609,0.6745,0.5476
10,0.2647,0.9723,0.7353,0.7775,0.7314,0.7404,0.6181,0.3166,0.9617,0.6834,0.7684,0.6430,0.6899,0.5618
11,0.2636,0.9724,0.7364,0.7804,0.7365,0.7415,0.6216,0.3513,0.9610,0.6487,0.8544,0.5861,0.6534,0.5286
12,0.2621,0.9728,0.7379,0.7687,0.7507,0.7426,0.6208,0.3107,0.9643,0.6893,0.7886,0.6490,0.6927,0.5720
13,0.2814,0.9716,0.7186,0.7437,0.7499,0.7230,0.6068,0.3513,0.9604,0.6487,0.8371,0.5601,0.6547,0.5220
14,0.2673,0.9730,0.7327,0.7703,0.7417,0.7376,0.6164,0.3091,0.9623,0.6909,0.7616,0.6740,0.6957,0.5724
15,0.2907,0.9682,0.7093,0.7336,0.7503,0.7136,0.5935,0.3675,0.9621,0.6325,0.8787,0.5493,0.6356,0.5153
16,0.2449,0.9736,0.7551,0.7915,0.7506,0.7592,0.6384,0.3189,0.9648,0.6811,0.8270,0.6354,0.6860,0.5670
17,0.2748,0.9734,0.7252,0.7735,0.7333,0.7302,0.6107,0.3232,0.9664,0.6768,0.8665,0.6138,0.6835,0.5665
18,0.2733,0.9738,0.7267,0.7534,0.7452,0.7313,0.6135,0.3039,0.9613,0.6961,0.7243,0.6999,0.7027,0.5779
19,0.2574,0.9756,0.7426,0.7890,0.7362,0.7478,0.6293,0.3281,0.9618,0.6719,0.8216,0.6278,0.6761,0.5512
20,0.2846,0.9731,0.7154,0.7349,0.7433,0.7199,0.6068,0.3054,0.9650,0.6946,0.7944,0.6594,0.6998,0.5791
21,0.2403,0.9774,0.7597,0.7991,0.7525,0.7646,0.6498,0.3191,0.9667,0.6809,0.8739,0.6170,0.6852,0.5695
22,0.2691,0.9710,0.7309,0.7485,0.7693,0.7359,0.6190,0.3232,0.9668,0.6768,0.8863,0.6129,0.6814,0.5674
23,0.2441,0.9765,0.7559,0.7850,0.7543,0.7615,0.6448,0.3074,0.9673,0.6926,0.8578,0.6382,0.6982,0.5825
24,0.2476,0.9774,0.7524,0.7694,0.7624,0.7579,0.6444,0.2888,0.9649,0.7112,0.7461,0.6975,0.7159,0.5964
25,0.2567,0.9772,0.7433,0.7728,0.7513,0.7505,0.6325,0.3154,0.9673,0.6846,0.8828,0.6164,0.6913,0.5746
26,0.2529,0.9775,0.7471,0.7690,0.7557,0.7532,0.6401,0.3080,0.9663,0.6920,0.7782,0.6748,0.7107,0.5932
27,0.2711,0.9757,0.7289,0.7527,0.7518,0.7335,0.6220,0.2982,0.9658,0.7018,0.7923,0.6642,0.7078,0.5879
28,0.2457,0.9783,0.7543,0.7859,0.7550,0.7601,0.6432,0.3039,0.9651,0.6961,0.8144,0.6619,0.7012,0.5823
29,0.2344,0.9787,0.7656,0.7891,0.7710,0.7717,0.6607,0.2928,0.9677,0.7072,0.8163,0.6669,0.7127,0.5969
